,episode_nr,timesteps,avg_timesteps
0,1,9,900.0
1,2,4,200.0
2,3,7,233.3
3,4,10,250.0
4,5,10,200.0
5,6,17,283.3
6,7,5,71.4
7,8,7,87.5
8,9,12,133.3
9,10,24,240.0
10,11,6,54.5
11,12,18,150.0
12,13,10,76.9
13,14,5,35.7
14,15,9,60.0
15,16,6,37.5
16,17,44,258.8
17,18,6,33.3
18,19,10,52.6
19,20,7,35.0
20,21,7,33.3
21,22,11,50.0
22,23,6,26.1
23,24,5,20.8
24,25,5,20.0
25,26,9,34.6
26,27,10,37.0
27,28,6,21.4
28,29,7,24.1
29,30,7,23.3
30,31,4,12.9
31,32,7,21.9
32,33,6,18.2
33,34,6,17.6
34,35,5,14.3
35,36,7,19.4
36,37,8,21.6
37,38,5,13.2
38,39,6,15.4
39,40,5,12.5
40,41,7,17.1
41,42,24,57.1
42,43,7,16.3
43,44,7,15.9
44,45,6,13.3
45,46,5,10.9
46,47,26,55.3
47,48,7,14.6
48,49,13,26.5
49,50,8,16.0
50,51,7,13.7
51,52,9,17.3
52,53,5,9.4
53,54,5,9.3
54,55,8,14.5
55,56,8,14.3
56,57,8,14.0
57,58,5,8.6
58,59,6,10.2
59,60,7,11.7
60,61,13,21.3
61,62,8,12.9
62,63,19,30.2
63,64,5,7.8
64,65,12,18.5
65,66,12,18.2
66,67,11,16.4
67,68,21,30.9
68,69,5,7.2
69,70,5,7.1
70,71,23,32.4
71,72,10,13.9
72,73,6,8.2
73,74,9,12.2
74,75,6,8.0
75,76,7,9.2
76,77,5,6.5
77,78,9,11.5
78,79,8,10.1
79,80,11,13.8
80,81,8,9.9
81,82,10,12.2
82,83,18,21.7
83,84,5,6.0
84,85,6,7.1
85,86,5,5.8
86,87,11,12.6
87,88,5,5.7
88,89,22,24.7
89,90,6,6.7
90,91,6,6.6
91,92,5,5.4
92,93,7,7.5
93,94,5,5.3
94,95,14,14.7
95,96,13,13.5
96,97,7,7.2
97,98,14,14.3
98,99,9,9.1
99,100,9,9.0
100,101,7,6.9
101,102,12,11.8
102,103,17,16.5
103,104,8,7.7
104,105,8,7.6
105,106,8,7.5
106,107,10,9.3
107,108,19,17.6
108,109,10,9.2
109,110,9,8.2
110,111,13,11.7
111,112,6,5.4
112,113,7,6.2
113,114,9,7.9
114,115,22,19.1
115,116,8,6.9
116,117,6,5.1
117,118,10,8.5
118,119,8,6.7
119,120,5,4.2
120,121,6,5.0
121,122,5,4.1
122,123,16,13.0
123,124,6,4.8
124,125,4,3.2
125,126,12,9.5
126,127,5,3.9
127,128,19,14.8
128,129,9,7.0
129,130,7,5.4
130,131,18,13.7
131,132,6,4.5
132,133,8,6.0
133,134,20,14.9
134,135,9,6.7
135,136,14,10.3
136,137,7,5.1
137,138,8,5.8
138,139,25,18.0
139,140,21,15.0
140,141,8,5.7
141,142,6,4.2
142,143,9,6.3
143,144,19,13.2
144,145,7,4.8
145,146,9,6.2
146,147,6,4.1
147,148,7,4.7
148,149,5,3.4
149,150,16,10.7
150,151,10,6.6
151,152,10,6.6
152,153,16,10.5
153,154,7,4.5
154,155,5,3.2
155,156,16,10.3
156,157,9,5.7
157,158,9,5.7
158,159,8,5.0
159,160,6,3.8
160,161,8,5.0
161,162,10,6.2
162,163,10,6.1
163,164,7,4.3
164,165,4,2.4
165,166,9,5.4
166,167,6,3.6
167,168,31,18.5
168,169,16,9.5
169,170,7,4.1
170,171,6,3.5
171,172,9,5.2
172,173,23,13.3
173,174,8,4.6
174,175,6,3.4
175,176,5,2.8
176,177,5,2.8
177,178,13,7.3
178,179,13,7.3
179,180,7,3.9
180,181,15,8.3
181,182,9,4.9
182,183,8,4.4
183,184,21,11.4
184,185,30,16.2
185,186,6,3.2
186,187,8,4.3
187,188,6,3.2
188,189,5,2.6
189,190,17,8.9
190,191,8,4.2
191,192,5,2.6
192,193,6,3.1
193,194,4,2.1
194,195,9,4.6
195,196,5,2.6
196,197,5,2.5
197,198,5,2.5
198,199,6,3.0
199,200,17,8.5
