,episode_nr,total_reward,avg_reward
0,1,0,0.0
1,2,0,0.0
2,3,0,0.0
3,4,0,0.0
4,5,0,0.0
5,6,0,0.0
6,7,0,0.0
7,8,0,0.0
8,9,0,0.0
9,10,0,0.0
10,11,0,0.0
11,12,0,0.0
12,13,0,0.0
13,14,0,0.0
14,15,0,0.0
15,16,0,0.0
16,17,0,0.0
17,18,0,0.0
18,19,0,0.0
19,20,0,0.0
20,21,0,0.0
21,22,0,0.0
22,23,0,0.0
23,24,0,0.0
24,25,0,0.0
25,26,0,0.0
26,27,0,0.0
27,28,0,0.0
28,29,0,0.0
29,30,0,0.0
30,31,0,0.0
31,32,0,0.0
32,33,0,0.0
33,34,0,0.0
34,35,0,0.0
35,36,0,0.0
36,37,2,5.4
37,38,2,5.3
38,39,2,5.1
39,40,2,5.0
40,41,2,4.9
41,42,2,4.8
42,43,2,4.7
43,44,2,4.5
44,45,2,4.4
45,46,2,4.3
46,47,2,4.3
47,48,2,4.2
48,49,2,4.1
49,50,2,4.0
50,51,2,3.9
51,52,2,3.8
52,53,2,3.8
53,54,2,3.7
54,55,2,3.6
55,56,2,3.6
56,57,2,3.5
57,58,2,3.4
58,59,2,3.4
59,60,2,3.3
60,61,2,3.3
61,62,2,3.2
62,63,2,3.2
63,64,2,3.1
64,65,2,3.1
65,66,2,3.0
66,67,2,3.0
67,68,2,2.9
68,69,2,2.9
69,70,2,2.9
70,71,2,2.8
71,72,2,2.8
72,73,2,2.7
73,74,2,2.7
74,75,2,2.7
75,76,2,2.6
76,77,2,2.6
77,78,2,2.6
78,79,2,2.5
79,80,2,2.5
80,81,2,2.5
81,82,2,2.4
82,83,2,2.4
83,84,2,2.4
84,85,2,2.4
85,86,2,2.3
86,87,2,2.3
87,88,2,2.3
88,89,2,2.2
89,90,2,2.2
90,91,2,2.2
91,92,2,2.2
92,93,2,2.2
93,94,2,2.1
94,95,2,2.1
95,96,2,2.1
96,97,2,2.1
97,98,2,2.0
98,99,2,2.0
99,100,2,2.0
100,101,2,2.0
101,102,4,3.9
102,103,4,3.9
103,104,4,3.8
104,105,4,3.8
105,106,4,3.8
106,107,4,3.7
107,108,4,3.7
108,109,4,3.7
109,110,4,3.6
110,111,4,3.6
111,112,4,3.6
112,113,4,3.5
113,114,4,3.5
114,115,4,3.5
115,116,4,3.4
116,117,4,3.4
117,118,4,3.4
118,119,4,3.4
119,120,4,3.3
120,121,4,3.3
121,122,4,3.3
122,123,4,3.3
123,124,4,3.2
124,125,4,3.2
125,126,4,3.2
126,127,4,3.1
127,128,4,3.1
128,129,4,3.1
129,130,4,3.1
130,131,4,3.1
131,132,4,3.0
132,133,4,3.0
133,134,4,3.0
134,135,4,3.0
135,136,4,2.9
136,137,4,2.9
137,138,4,2.9
138,139,4,2.9
139,140,4,2.9
140,141,4,2.8
141,142,4,2.8
142,143,4,2.8
143,144,4,2.8
144,145,4,2.8
145,146,4,2.7
146,147,4,2.7
147,148,4,2.7
148,149,4,2.7
149,150,4,2.7
150,151,4,2.6
151,152,4,2.6
152,153,4,2.6
153,154,4,2.6
154,155,4,2.6
155,156,4,2.6
156,157,4,2.5
157,158,4,2.5
158,159,4,2.5
159,160,4,2.5
160,161,4,2.5
161,162,4,2.5
162,163,4,2.5
163,164,4,2.4
164,165,4,2.4
165,166,4,2.4
166,167,4,2.4
167,168,4,2.4
168,169,4,2.4
169,170,4,2.4
170,171,4,2.3
171,172,4,2.3
172,173,4,2.3
173,174,4,2.3
174,175,4,2.3
175,176,4,2.3
176,177,4,2.3
177,178,4,2.2
178,179,4,2.2
179,180,4,2.2
180,181,4,2.2
181,182,4,2.2
182,183,4,2.2
183,184,4,2.2
184,185,4,2.2
185,186,4,2.2
186,187,4,2.1
187,188,4,2.1
188,189,4,2.1
189,190,4,2.1
190,191,4,2.1
191,192,4,2.1
192,193,4,2.1
193,194,4,2.1
194,195,4,2.1
195,196,4,2.0
196,197,4,2.0
197,198,4,2.0
198,199,4,2.0
199,200,4,2.0
200,201,4,2.0
